case_id,system_type,mode,question,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,answer_similarity,ragas_score,ragas_missing_metrics
VZ-QA-008,graph,mix,What is Stiv Naumov Memorial House in the Vezilka corpus?,1.0,0.8347953987847699,0.8874999999778125,1.0,0.26873036728439226,0.7591759883849787,0.7917002924053257,
VZ-QA-008,mixed,hybrid,What is Stiv Naumov Memorial House in the Vezilka corpus?,1.0,0.8194562728647318,0.9166666666361111,1.0,0.36877695584997644,0.769244660975611,0.812357426054405,
VZ-QA-009,naive,naive,What is Под Вавилон – задачата на преведувачот in the Vezilka corpus?,1.0,0.755124545040912,0.999999999975,1.0,0.5126060790038327,0.7647100303010452,0.838740109053465,
VZ-QA-009,graph,mix,What is Под Вавилон – задачата на преведувачот in the Vezilka corpus?,1.0,0.7540915904499218,0.999999999975,1.0,0.38583137524679967,0.7432413857809548,0.8138607252421127,
VZ-QA-009,mixed,hybrid,What is Под Вавилон – задачата на преведувачот in the Vezilka corpus?,1.0,0.7551967236828693,0.999999999975,1.0,0.498676919052794,0.6613828278682633,0.8192094117631545,
VZ-QA-010,naive,naive,What is Сиромавиот и чучурлигата in the Vezilka corpus?,0.6363636363636364,0.7182628435541362,0.9999999999666667,1.0,0.40078168788528956,0.7459838943983012,0.7502320103613384,
VZ-QA-010,graph,mix,What is Сиромавиот и чучурлигата in the Vezilka corpus?,0.75,0.7182378562296335,0.9999999999666667,1.0,0.5570295347466551,0.7281595307838101,0.7922378202877943,
VZ-QA-010,mixed,hybrid,What is Сиромавиот и чучурлигата in the Vezilka corpus?,0.8888888888888888,0.6982814953650126,0.9999999999666667,1.0,0.4562308261931831,0.7340264835307968,0.7962379489907581,
VZ-QA-011,naive,naive,What is Волшебното котле и други бајки in the Vezilka corpus?,0.5714285714285714,0.746455463463254,0.9999999999666667,1.0,0.34375466888458545,0.7084737446460192,0.7283520747315162,
VZ-QA-011,graph,mix,What is Волшебното котле и други бајки in the Vezilka corpus?,0.8888888888888888,0.7474517317089081,0.9999999999666667,1.0,0.18004402629809,0.7201082854485416,0.7560821553851825,
VZ-QA-011,mixed,hybrid,What is Волшебното котле и други бајки in the Vezilka corpus?,0.625,0.7459573293404268,0.99999999995,0.5,0.5167867726002631,0.6825317057856676,0.6783793012793929,
VZ-QA-012,naive,naive,What is Должници in the Vezilka corpus?,0.875,0.5031110564064665,0.9999999999666667,1.0,0.31147498373942906,0.7004512320294094,0.7316728786903286,
VZ-QA-012,graph,mix,What is Должници in the Vezilka corpus?,0.7,0.5085588004840708,0.9999999999666667,1.0,0.29063798682970965,0.7010134857803773,0.7000350455101373,
VZ-QA-012,mixed,hybrid,What is Должници in the Vezilka corpus?,0.75,0.5358913256456023,0.9999999999666667,1.0,0.41011543023590946,0.7173088158254797,0.7355525952789431,
VZ-QA-013,naive,naive,What is Раскази и споредбени коментари in the Vezilka corpus?,0.875,0.6657027960977225,0.9999999999666667,1.0,0.47047259996708113,0.7909813089592338,0.8003594508317841,
VZ-QA-013,graph,mix,What is Раскази и споредбени коментари in the Vezilka corpus?,0.8,0.6657027960977225,0.9999999999666667,1.0,0.4620212587730554,0.6479526883599853,0.7626127905329051,
VZ-QA-013,mixed,hybrid,What is Раскази и споредбени коментари in the Vezilka corpus?,0.5833333333333334,0.6704897061073892,0.9999999999666667,1.0,0.4787763919505096,0.7152289705347343,0.7413047336487723,
VZ-QA-014,naive,naive,What is Страјк in the Vezilka corpus?,0.75,0.4528870161218295,0.9999999999666667,1.0,0.7619454505276159,0.6479615349375827,0.7687990002589492,
VZ-QA-014,graph,mix,What is Страјк in the Vezilka corpus?,1.0,0.47891459829869804,0.9999999999666667,1.0,0.530100872152204,0.7870786416470512,0.7993490186774367,
VZ-QA-014,mixed,hybrid,What is Страјк in the Vezilka corpus?,1.0,0.5060429777336273,0.32499999998375,1.0,0.8359443294968167,0.7723002602255887,0.7398812612399639,
VZ-QA-015,naive,naive,What is Синагога Арагон (Битола) in the Vezilka corpus?,0.8333333333333334,0.43978677586660897,0.9999999999666667,1.0,0.24542503333481505,0.7089789753862752,0.7045873529812833,
VZ-QA-015,graph,mix,What is Синагога Арагон (Битола) in the Vezilka corpus?,0.1875,0.48531333714186675,0.8333333332916666,1.0,0.30363611028270976,0.7530059795923776,0.5937981267181035,
VZ-QA-015,mixed,hybrid,What is Синагога Арагон (Битола) in the Vezilka corpus?,0.5,0.7561073749829377,0.9999999999,0.5,0.9264870985643245,0.7058524618627477,0.7314078225516684,
VZ-QA-016,naive,naive,What is Funk Shui in the Vezilka corpus?,0.8,0.4929683833966796,0.9999999999666667,1.0,0.32292642533350546,0.7462953443768857,0.7270316921789562,
VZ-QA-016,graph,mix,What is Funk Shui in the Vezilka corpus?,1.0,0.4542386259267323,0.9999999999666667,1.0,0.2923774735187085,0.7408785803302034,0.7479157799570517,
VZ-QA-016,mixed,hybrid,What is Funk Shui in the Vezilka corpus?,1.0,0.4542386259267323,0.9999999999666667,1.0,0.29525281137684645,0.7194302624731594,0.7448202832905676,
VZ-QA-017,naive,naive,What is Angel Gavrovski in the Vezilka corpus?,0.8571428571428571,0.5904343579878469,0.8055555555287036,1.0,0.36548573761754366,0.7560327858364726,0.7291085490189039,
VZ-QA-017,graph,mix,What is Angel Gavrovski in the Vezilka corpus?,1.0,0.6278256580446562,0.8333333332916666,1.0,0.4672320456823985,0.7784211169782635,0.7844686923328307,
VZ-QA-017,mixed,hybrid,What is Angel Gavrovski in the Vezilka corpus?,1.0,0.5922801940814276,0.8055555555287036,1.0,0.2931137422211349,0.7724674663780411,0.7439028263682178,
VZ-QA-018,naive,naive,What is Xsoundbeatz in the Vezilka corpus?,1.0,0.524068955879856,0.9999999999666667,1.0,0.2797572259425078,0.7189759824648807,0.7538003607089853,
VZ-QA-018,graph,mix,What is Xsoundbeatz in the Vezilka corpus?,1.0,0.5373478730476369,0.9999999999666667,1.0,0.3164896501229184,0.7659586004916736,0.7699660206048159,
VZ-QA-018,mixed,hybrid,What is Xsoundbeatz in the Vezilka corpus?,1.0,0.5343249990855868,0.9999999999666667,1.0,0.3026932845369021,0.748354445830098,0.7642287882365423,
VZ-QA-019,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Исхак-бегова џамија?,0.5,0.947325495846535,0.99999999995,1.0,0.773762725240641,0.6950140020388542,0.8193503705126717,
VZ-QA-019,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Исхак-бегова џамија?,1.0,0.8600530094388201,0.8333333332916666,1.0,0.7829638622707608,0.7318410695362202,0.8680318790895781,
VZ-QA-019,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Исхак-бегова џамија?,0.5,0.9473449239615738,0.8333333332916666,1.0,0.6754289690346569,0.7018106769262007,0.776319650535683,
VZ-QA-020,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Шарена џамија?,0.5,0.9780062599846117,0.9999999999,1.0,0.6623697075604986,0.6494788302419945,0.7983091329478508,
VZ-QA-020,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Шарена џамија?,1.0,0.9577760316481024,0.9999999999,1.0,0.9151889787663354,0.6608160491540849,0.9222968432447538,
VZ-QA-020,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Шарена џамија?,1.0,0.9511098224270159,0.9999999999,1.0,0.9151889787663354,0.6607559150653417,0.9211757860264488,
VZ-QA-021,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Љубиша Георгиевски?,1.0,0.9794256961105288,0.9999999999,1.0,0.9307959001511448,0.7231947154832824,0.9389027186074927,
VZ-QA-021,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Љубиша Георгиевски?,1.0,0.9794185914037539,0.9999999999,1.0,0.9307953277114887,0.7231947154832824,0.9389014390830875,
VZ-QA-021,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Љубиша Георгиевски?,1.0,0.9768885443650094,0.99999999995,1.0,0.9307959001511448,0.7231813108459546,0.9384776258853514,
VZ-QA-022,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Пулексенија Јовановска?,1.0,0.9762777828576491,0.9999999999,1.0,0.9311313373175328,0.7244774521381286,0.9386477620355519,
VZ-QA-022,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Пулексенија Јовановска?,1.0,0.9698549154071076,0.3333333333,1.0,0.9306025064941759,0.7224142612324184,0.826034169405617,
VZ-QA-022,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Пулексенија Јовановска?,0.5,0.9581884968476023,0.3333333333,1.0,0.6806088000487074,0.7224596187783493,0.6990983748291099,
VZ-QA-023,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Жарко Башески?,1.0,0.9799045069994378,0.99999999995,1.0,0.9364941923955272,0.7464017155130966,0.9438000691430103,
VZ-QA-023,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Жарко Башески?,1.0,0.9799045069994378,0.9999999999,1.0,0.9364865619126148,0.7464017155130966,0.9437987973875249,
VZ-QA-023,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Жарко Башески?,1.0,0.9798885165502412,0.9999999999666667,1.0,0.9365926185962491,0.7463704743849964,0.9438086015830255,
VZ-QA-024,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Кинотека на Македонија?,0.5,0.9434434275886417,0.9999999999666667,1.0,0.7016264769361085,0.8065059077444341,0.8252626353726417,
VZ-QA-024,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Кинотека на Македонија?,1.0,0.9517504922716743,0.9999999999666667,1.0,0.9516277906238112,0.8064764195699773,0.9516424504053549,
VZ-QA-024,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Кинотека на Македонија?,1.0,0.9434842182461645,0.999999999975,1.0,0.9516191048924943,0.8064764195699773,0.9502632904472726,
VZ-QA-025,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Меморијален музеј „Стив Наумов“?,0.6666666666666666,0.9751750027605239,0.999999999975,1.0,0.8011641299492025,0.8046604877926667,0.8746110478573433,
VZ-QA-025,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Меморијален музеј „Стив Наумов“?,1.0,0.9751750027605239,0.9999999999666667,1.0,0.8011849659086172,0.8046604877926667,0.9301700760714123,
VZ-QA-025,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Меморијален музеј „Стив Наумов“?,1.0,0.9729270421777176,0.999999999975,1.0,0.7980674900000833,0.7922699600003327,0.9272107486921889,
VZ-QA-026,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Ангел Гавровски?,0.5,0.9735593078424333,0.9999999999,1.0,0.6856423984644664,0.7425695938578654,0.8169618833441276,
VZ-QA-026,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Ангел Гавровски?,0.5,0.9707884671468984,0.9999999999,1.0,0.6856387540047557,0.7425695938578654,0.8164994691515867,
VZ-QA-026,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Ангел Гавровски?,1.0,0.9680268215055582,0.9999999999,1.0,0.9356423984644664,0.7425695938578654,0.9410398022879818,
VZ-QA-027,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Ѓорѓи Филиповски?,0.5,0.9788186497513885,0.9999999999,1.0,0.9418292931911743,0.7673171727646971,0.86466085260121,
VZ-QA-027,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Ѓорѓи Филиповски?,1.0,0.9788097406311197,0.9999999999,1.0,0.9418292931911743,0.7673171727646971,0.9479927010811652,
VZ-QA-027,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Ѓорѓи Филиповски?,1.0,0.975614844745542,0.9999999999,1.0,0.9418292931911743,0.7673171727646971,0.9474602184335689,
VZ-QA-028,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Црква „Пресвето Срце Исусово“ - Скопје?,0.5,0.9762632083390838,0.9999999999666667,1.0,0.6820993681557768,0.7283480789202478,0.8144517758969624,
VZ-QA-028,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Црква „Пресвето Срце Исусово“ - Скопје?,1.0,0.9532398460383852,0.99999999995,1.0,0.9307099569934696,0.7228398279738784,0.9344649384926221,
VZ-QA-028,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Црква „Пресвето Срце Исусово“ - Скопје?,0.5,0.9762513354910155,0.9999999999666667,1.0,0.9307093101895927,0.7228398279738784,0.8549667456035256,
VZ-QA-029,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Анастасија Балтова?,1.0,0.9831452054917413,0.9999999999,1.0,0.9414275133840547,0.7657972844992047,0.9483950005458334,
VZ-QA-029,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Анастасија Балтова?,1.0,0.9831452054917413,0.9166666666361111,1.0,0.9414493211248012,0.7657100535362189,0.9344952077981453,
VZ-QA-029,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Анастасија Балтова?,1.0,0.9831452054917413,0.9999999999666667,1.0,0.689314297004889,0.757225461032615,0.9049474939159853,
VZ-QA-030,naive,naive,Which English/Latin entity label corresponds to the Macedonian label Борис Чипан?,1.0,0.9828334269509704,0.9999999999,1.0,0.9393796223856858,0.7575458838448268,0.9466264888469139,
VZ-QA-030,graph,mix,Which English/Latin entity label corresponds to the Macedonian label Борис Чипан?,1.0,0.9828482602995496,0.3333333333,1.0,0.9394395255432835,0.7577295603806015,0.8355584465872391,
VZ-QA-030,mixed,hybrid,Which English/Latin entity label corresponds to the Macedonian label Борис Чипан?,1.0,0.9828401596443296,0.9999999999666667,1.0,0.938960716944119,0.7575184895427436,0.9465532276829766,
VZ-QA-031,naive,naive,What biographical date or life-detail is stated for Ljubiša Georgievski?,1.0,0.8653891239763393,0.9999999999,1.0,0.40517216157318414,0.7639270557210831,0.839081390195101,
VZ-QA-031,graph,mix,What biographical date or life-detail is stated for Ljubiša Georgievski?,0.8333333333333334,0.7908821833566102,0.9999999999,1.0,0.40743835456691246,0.772806044511199,0.8007433192780092,
VZ-QA-031,mixed,hybrid,What biographical date or life-detail is stated for Ljubiša Georgievski?,1.0,0.818167056140889,0.7499999999625,1.0,0.4428590057731947,0.7714131975424212,0.7970732099031675,
VZ-QA-032,naive,naive,What biographical date or life-detail is stated for Jasin Ferati?,1.0,0.7889338427384182,0.8333333332916666,1.0,0.4010101976835401,0.8540285398888702,0.8128843189337491,
VZ-QA-032,graph,mix,What biographical date or life-detail is stated for Jasin Ferati?,1.0,0.8182689128391564,0.8333333332916666,1.0,0.5714006062343182,0.9009870403218885,0.8539983154478383,
VZ-QA-032,mixed,hybrid,What biographical date or life-detail is stated for Jasin Ferati?,1.0,0.8072879914940544,0.8333333332916666,1.0,0.5200275318581937,0.880110127432775,0.840126497346115,
VZ-QA-033,naive,naive,What biographical date or life-detail is stated for Puleksenija Jovanoska?,0.8,0.778637732391022,0.9999999999,1.0,0.42559785729854915,0.7024070657316224,0.7844404425535322,
VZ-QA-033,graph,mix,What biographical date or life-detail is stated for Puleksenija Jovanoska?,1.0,0.8024792291525434,0.9999999999,1.0,0.3951557386091197,0.7234851860219129,0.820186692280596,
VZ-QA-033,mixed,hybrid,What biographical date or life-detail is stated for Puleksenija Jovanoska?,1.0,0.7309923096321107,0.7499999999625,1.0,0.47469385783623386,0.6987956494730153,0.7757469694839766,
VZ-QA-034,naive,naive,What biographical date or life-detail is stated for Žarko Bašeski?,1.0,0.8029780408027244,0.7499999999625,1.0,0.6175902102160832,0.47036084086433266,0.7734881819742734,
VZ-QA-034,graph,mix,What biographical date or life-detail is stated for Žarko Bašeski?,1.0,0.8005700474761972,0.7499999999625,1.0,0.21935006749451852,0.4488427425059461,0.7031271429065269,
VZ-QA-034,mixed,hybrid,What biographical date or life-detail is stated for Žarko Bašeski?,1.0,0.8218647155975428,0.7499999999625,1.0,0.21571259519960162,0.4342784066492874,0.7036426195681553,
VZ-QA-035,naive,naive,What biographical date or life-detail is stated for Angel Gavrovski?,0.9090909090909091,0.8526442950110722,0.8333333332916666,1.0,0.37253851475209804,0.7401540590083922,0.784626851859023,
VZ-QA-035,graph,mix,What biographical date or life-detail is stated for Angel Gavrovski?,1.0,0.7383735161750131,0.8333333332916666,1.0,0.5261305391280567,0.7199067718968424,0.8029573600819299,
VZ-QA-035,mixed,hybrid,What biographical date or life-detail is stated for Angel Gavrovski?,1.0,0.7227847780604352,0.8333333332916666,1.0,0.9339429737124386,0.7357718948497545,0.870972163319049,
VZ-QA-036,naive,naive,What biographical date or life-detail is stated for Xsoundbeatz?,1.0,0.7335434919990681,0.3333333333,1.0,0.35041603147391437,0.40166412589565753,0.6364928304447733,
VZ-QA-036,graph,mix,What biographical date or life-detail is stated for Xsoundbeatz?,1.0,0.7334914645028597,0.3333333333,1.0,0.19305598190097262,0.37222392760389045,0.6053507845512872,
VZ-QA-036,mixed,hybrid,What biographical date or life-detail is stated for Xsoundbeatz?,1.0,0.7482483805827201,0.3333333333,1.0,0.1836767595403344,0.30612983775394204,0.5952313851961661,
VZ-QA-037,naive,naive,What biographical date or life-detail is stated for Gjorgji Filipovski?,1.0,0.8432840297244399,0.9999999999,1.0,0.33377999919803725,0.7896294296645909,0.827782243081178,
VZ-QA-037,graph,mix,What biographical date or life-detail is stated for Gjorgji Filipovski?,0.875,0.8362755986725495,0.9999999999,1.0,0.3646806866399238,0.7920741436501259,0.8113384048104332,
VZ-QA-037,mixed,hybrid,What biographical date or life-detail is stated for Gjorgji Filipovski?,0.6923076923076923,0.7493906619018224,0.9999999999,1.0,0.30295502659315376,0.7832310989436819,0.7546474132743918,
VZ-QA-038,naive,naive,Where is Ishak Bey Mosque located or situated according to the corpus?,1.0,0.7563225830361736,0.8666666666377778,1.0,0.29062008494292624,0.4124709479075506,0.721013380420738,
VZ-QA-038,graph,mix,Where is Ishak Bey Mosque located or situated according to the corpus?,0.875,0.6149636595753072,0.94999999997625,0.5,0.5780481783331745,0.4371819522470675,0.6591989650219665,
VZ-QA-038,mixed,hybrid,Where is Ishak Bey Mosque located or situated according to the corpus?,1.0,0.5331968188580117,0.94999999997625,1.0,0.4958449803340159,0.4833799213360638,0.7437369534173902,
VZ-QA-039,naive,naive,Where is Šarena Mosque located or situated according to the corpus?,1.0,0.7592347331208948,0.99999999995,1.0,0.3751425945378861,0.5005703781515445,0.7724912842933875,
VZ-QA-039,graph,mix,Where is Šarena Mosque located or situated according to the corpus?,0.7142857142857143,0.7675709697868411,0.99999999995,1.0,0.49821322498004383,0.4929109245819536,0.7454968055974255,
VZ-QA-039,mixed,hybrid,Where is Šarena Mosque located or situated according to the corpus?,0.5555555555555556,0.7914112536238656,0.99999999995,1.0,0.38200731995206283,0.5280292798082512,0.7095005681482892,
VZ-QA-040,naive,naive,Where is Cinematheque of Macedonia located or situated according to the corpus?,1.0,0.8526218508733674,0.49999999995,1.0,0.5851356313264324,0.8405425253057297,0.7963833345759216,
VZ-QA-040,graph,mix,Where is Cinematheque of Macedonia located or situated according to the corpus?,0.5555555555555556,0.8513139204534709,0.49999999995,1.0,0.34461413944349906,0.7784669393428354,0.6716584257908934,
VZ-QA-040,mixed,hybrid,Where is Cinematheque of Macedonia located or situated according to the corpus?,0.5,0.8512972696956694,0.49999999995,1.0,0.3387417739763629,0.8095125504509062,0.6665919323454897,
VZ-QA-041,naive,naive,Where is Stiv Naumov Memorial House located or situated according to the corpus?,1.0,0.8536923875034322,0.249999999975,1.0,0.6092813166662324,0.7228231640720552,0.73929947803612,
VZ-QA-041,graph,mix,Where is Stiv Naumov Memorial House located or situated according to the corpus?,1.0,0.8344758819717081,0.249999999975,1.0,0.3863009480146963,0.745227725665399,0.7026674259378005,
VZ-QA-041,mixed,hybrid,Where is Stiv Naumov Memorial House located or situated according to the corpus?,1.0,0.8470082326017615,0.249999999975,1.0,0.4551176048623441,0.7295613285402854,0.7136145276632319,
VZ-QA-042,naive,naive,Where is Синагога Арагон (Битола) located or situated according to the corpus?,1.0,0.42347704661203683,0.8666666666377778,1.0,0.5737880441128707,0.7951521764514825,0.7765139889690279,
VZ-QA-042,graph,mix,Where is Синагога Арагон (Битола) located or situated according to the corpus?,1.0,0.42347704661203683,0.99999999995,1.0,0.5018614968298925,0.8074459873195697,0.7887974217852499,
VZ-QA-042,mixed,hybrid,Where is Синагога Арагон (Битола) located or situated according to the corpus?,0.8,0.8308547564116342,0.9999999999,1.0,0.4581435200414687,0.8325740801658748,0.8202620594198295,
VZ-QA-043,naive,naive,Where is Xsoundbeatz located or situated according to the corpus?,1.0,0.6742756801095537,0.3333333333,0.0,0.2612566027626241,0.18788355390763906,0.4094581950133029,
VZ-QA-043,graph,mix,Where is Xsoundbeatz located or situated according to the corpus?,1.0,0.607048742468763,0.3333333333,0.0,0.19530645703565472,0.18121302084299734,0.3861502589412358,
VZ-QA-043,mixed,hybrid,Where is Xsoundbeatz located or situated according to the corpus?,0.875,0.603776635820875,0.3333333333,0.0,0.505765863456136,0.17690960767069747,0.41579757337461803,
VZ-QA-044,naive,naive,Where is Cathedral of the Sacred Heart of Jesus located or situated according to the corpus?,1.0,0.8047911153796882,0.999999999975,1.0,0.5776997219063509,0.674500968842698,0.8428319676839561,
VZ-QA-044,graph,mix,Where is Cathedral of the Sacred Heart of Jesus located or situated according to the corpus?,1.0,0.8047681303493001,0.999999999975,1.0,0.7663971262594292,0.665594901744309,0.8727933597213396,
VZ-QA-044,mixed,hybrid,Where is Cathedral of the Sacred Heart of Jesus located or situated according to the corpus?,1.0,0.8047681303493001,0.999999999975,1.0,0.3189740809432224,0.6756847686416081,0.7999044966515217,
VZ-QA-045,naive,naive,What construction or foundation detail is stated for Ishak Bey Mosque?,1.0,0.0,0.0,1.0,0.4022081308297838,0.4088749017605416,0.46851383876505426,
VZ-QA-045,graph,mix,What construction or foundation detail is stated for Ishak Bey Mosque?,0.14285714285714285,0.682496295209822,0.0,1.0,0.6111792206012504,0.44477341670489534,0.4802176792288518,
VZ-QA-045,mixed,hybrid,What construction or foundation detail is stated for Ishak Bey Mosque?,1.0,0.6937093021495654,0.32499999998375,0.5,0.3256307211592836,0.44544323673691705,0.5482972100049194,
VZ-QA-046,naive,naive,What construction or foundation detail is stated for Šarena Mosque?,1.0,0.6758848107321174,0.0,0.0,0.0719860215012329,0.28792008494260835,0.3392984861959931,
VZ-QA-046,graph,mix,What construction or foundation detail is stated for Šarena Mosque?,1.0,0.0,0.0,0.0,0.30459559301294753,0.2953054489748672,0.2666501736646358,
VZ-QA-046,mixed,hybrid,What construction or foundation detail is stated for Šarena Mosque?,0.6666666666666666,0.0,0.0,1.0,0.5725420867130957,0.290168346852383,0.42156285003869093,
VZ-QA-047,naive,naive,What construction or foundation detail is stated for Cathedral of the Sacred Heart of Jesus?,0.5714285714285714,0.0,0.9999999999,0.0,0.28632677521388916,0.4786865940125532,0.3894069900925023,
VZ-QA-047,graph,mix,What construction or foundation detail is stated for Cathedral of the Sacred Heart of Jesus?,0.9,0.6230175841681534,0.0,0.0,0.2447070893768033,0.47882668724547206,0.3744252267984048,
VZ-QA-047,mixed,hybrid,What construction or foundation detail is stated for Cathedral of the Sacred Heart of Jesus?,0.7692307692307693,0.6591734712616177,0.49999999995,1.0,0.8702567144226959,0.4810988593665641,0.7132933023719411,
VZ-QA-048,naive,naive,What construction or foundation detail is stated for National Theatre of Bitola?,1.0,0.7174302343428166,0.0,0.0,0.11042047415884321,0.44164395398469336,0.3782491104143922,
VZ-QA-048,graph,mix,What construction or foundation detail is stated for National Theatre of Bitola?,1.0,0.0,0.0,0.0,0.10575116094882078,0.42300464379528313,0.25479263412401737,
